Target gene (OFFICIAL_GENE_NAME)	TF (OFFICIAL_TF_CODING_GENE_NAME)	REFERENCES	SPECIES	ACCESSION #S
DBH	CREB1	pazar_pleiades_20100814;pazar;trrd;;TRED;;	Homo sapiens;Rattus norvegicus;Homo sapiens;;Homo sapiens;	
DCT	CREB1	Pubmed	Homo sapiens;	;1999537
DIO2	CREB1	pazar;trrd	Homo sapiens;Rattus norvegicus	
DKK2	CREB1	Pubmed	Mus musculus;	;14973073
DUSP1	CREB1	Pubmed	Mus musculus;	;14973073
EDN1	CREB1	Pubmed	Mus musculus;	;14973073
ERBB2	CREB1	TRED	Homo sapiens	
ETV3	CREB1	TRED	Homo sapiens	
ETV6	CREB1	Pubmed	Mus musculus;	;14973073
EXO1	CREB1	TRED	Homo sapiens	
EXOSC6	CREB1	Pubmed	Mus musculus;	;14973073
F3	CREB1	TRED	Homo sapiens	
FAS	CREB1	TRED	Homo sapiens	
FLT1	CREB1	TRED	Homo sapiens	
FN1	CREB1	pazar;trrd;TRED	Rattus norvegicus;Homo sapiens	
FOS	CREB1	pazar;TRED	Homo sapiens; Mus musculus	
G6PC	CREB1	pazar;trrd	Homo sapiens	
GABARAP	CREB1	Pubmed	Mus musculus;	;14973073
GAD1	CREB1	Pubmed	Mus musculus;	;14973073
GAL	CREB1	pazar	Rattus norvegicus	
GALNT1	CREB1	Pubmed	Mus musculus;	;14973073
GALR1	CREB1	TRED	Mus musculus	
GAP43	CREB1	Pubmed	Mus musculus;	;14973073
GCG	CREB1	TRED	Rattus norvegicus	
GDNF	CREB1	TRED	Homo sapiens	
GFAP	CREB1	TRED	Mus musculus	
GH2	CREB1	TRED	Homo sapiens	
GNRH1	CREB1	trrd;TRED	Homo sapiens	
GNRHR	CREB1	trrd;TRED	Homo sapiens	
GSTP1	CREB1	TRED	Homo sapiens	
GZMB	CREB1	TRED	Mus musculus	
HERPUD1	CREB1	Pubmed	Mus musculus;	;14973073
HK2	CREB1	trrd;TRED	Rattus norvegicus	
HLA-DPB1	CREB1	TRED	Homo sapiens	
HLA-DRA	CREB1	TRED	Homo sapiens	
HLA-G	CREB1	TRED	Homo sapiens	
HMOX1	CREB1	TRED	Homo sapiens	
HPGD	CREB1	TRED	Homo sapiens	
HSPA5	CREB1	trrd;TRED	Homo sapiens;Rattus norvegicus	
ICAM1	CREB1	TRED	Homo sapiens	
IFNG	CREB1	trrd;	Homo sapiens;	S2413;
IFT81	CREB1	TRED	Mus musculus	
IGFBP1	CREB1	trrd;TRED	Homo sapiens	
IL1B	CREB1	trrd;TRED	Homo sapiens	
IL2	CREB1	trrd;	Homo sapiens;	S3430;
IL5RA	CREB1	trrd;TRED	Homo sapiens	
IL6	CREB1	TRED	Homo sapiens	
INHA	CREB1	trrd;TRED	Rattus norvegicus	
INHBA	CREB1	TRED	Homo sapiens	
INS2	CREB1	pazar	Mus musculus	
INS	CREB1	pazar	Homo sapiens	
IRF7	CREB1	Pubmed	Mus musculus;	;14973073
JUN	CREB1	TRED	Mus musculus	
KCNC1	CREB1	trrd;TRED	Rattus norvegicus;Mus musculus	
KCNN3	CREB1	TRED	Homo sapiens	
LAT	CREB1	trrd	HSV1	S7643
LDHA	CREB1	trrd;TRED	Mus musculus; Rattus norvegicus	
LGALS8	CREB1	Pubmed	Mus musculus;	;14973073
LHX8	CREB1	pazar	Mus musculus	
LTF	CREB1	TRED	Mus musculus	
ME2	CREB1	TRED	Homo sapiens	
MIF	CREB1	TRED	Mus musculus	
MITF	CREB1	TRED	Homo sapiens	
MOG	CREB1	TRED	Homo sapiens	
MSMB	CREB1	TRED	Homo sapiens	
MYH10	CREB1	TRED	Homo sapiens	
MYOD1	CREB1	TRED	Mus musculus	
MYST2	CREB1	TRED	Homo sapiens	
N.A	CREB1	trrd	Om	S4943
NDUFA4	CREB1	Pubmed	Mus musculus;	;14973073
NF1	CREB1	TRED	Homo sapiens	
NKX6-2	CREB1	Pubmed	Mus musculus;	;14973073
NOS2	CREB1	TRED	Rattus norvegicus	
NPC1	CREB1	TRED	Homo sapiens	
NPPA	CREB1	TRED	Rattus norvegicus	
NR3C1	CREB1	TRED	Homo sapiens	
NR4A2	CREB1	pazar	Mus musculus	
NR5A1	CREB1	TRED	Homo sapiens	
NRAS	CREB1	TRED	Homo sapiens	
NTS	CREB1	TRED	Homo sapiens	
ODC1	CREB1	trrd;TRED	Mus musculus;Homo sapiens	
PAH	CREB1	TRED	Rattus norvegicus	
PCDHB11	CREB1	TRED	Homo sapiens	
PCK1	CREB1	trrd;TRED	Rattus norvegicus; Homo sapiens	
PCNA	CREB1	trrd;TRED	Mus musculus	
PCSK1	CREB1	TRED	Homo sapiens	
PDHA2	CREB1	TRED	Mus musculus	
PENK	CREB1	TRED	Homo sapiens	
PER1	CREB1	trrd;TRED	Mus musculus	
PER2	CREB1	trrd;TRED	Mus musculus	
PITPNB	CREB1	Pubmed	Mus musculus;	;14973073
PITX2	CREB1	pazar	Mus musculus	
PLAT	CREB1	pazar;trrd;TRED	Homo sapiens;Mus musculus;	
POLB	CREB1	TRED	Homo sapiens	
POLD2	CREB1	TRED	Homo sapiens	
POLG2	CREB1	TRED	Homo sapiens	
POMC	CREB1	trrd;	Rattus norvegicus	S7596;
POU2AF1	CREB1	trrd;	Mus musculus;	S9981;
PPARA	CREB1	TRED	Homo sapiens	
PRL	CREB1	TRED	Rattus norvegicus	
PSEN1	CREB1	TRED	Homo sapiens	
PSENEN	CREB1	Pubmed	Homo sapiens;	;16449647
PTGS2	CREB1	Pubmed	Homo sapiens;	;17962194
PTH	CREB1	TRED	Homo sapiens	
RARB	CREB1	pazar;trrd;TRED	Homo sapiens;Mus musculus	
REN1	CREB1	NFIRegulomeDB;	Mus musculus;	;
REN	CREB1	trrd;TRED	Homo sapiens	
RRM2B	CREB1	TRED	Homo sapiens	
SDS	CREB1	TRED	Rattus norvegicus	
SEC63	CREB1	Pubmed	Mus musculus;	;14973073
SFTPA2	CREB1	TRED	Homo sapiens	
SHBG	CREB1	TRED	Rattus norvegicus	
SLC18A2	CREB1	TRED	Rattus norvegicus	
SLC19A1	CREB1	TRED	Homo sapiens	
SLC1A3	CREB1	TRED	Mus musculus	
SLC20A1	CREB1	TRED	Mus musculus	
SLC25A21	CREB1	TRED	Homo sapiens	
SLC5A5	CREB1	TRED	Mus musculus	
SLC9A1	CREB1	TRED	Homo sapiens	
SMAD6	CREB1	TRED	Homo sapiens	
SPATA2	CREB1	TRED	Homo sapiens	
SPP1	CREB1	Pubmed	Homo sapiens; Rattus norvegicus	;20587945; 21467818; 21276840; 20965237
SPRY2	CREB1	TRED	Homo sapiens	
SQSTM1	CREB1	Pubmed	Mus musculus;	;14973073
SRPK2	CREB1	Pubmed	Mus musculus;	;14973073
SRSF10	CREB1	Pubmed	Mus musculus;	;14973073
SST	CREB1	TRED	Rattus norvegicus	
SSTR2	CREB1	TRED	Rattus norvegicus	
STAT3	CREB1	TRED	Homo sapiens	
TAC1	CREB1	pazar;TRED	Rattus norvegicus	
TAT	CREB1	TRED	Rattus norvegicus	
TFAP2A	CREB1	Pubmed	Mus musculus	;20805990
TF	CREB1	trrd;TRED	Homo sapiens	
TFRC	CREB1	Pubmed	Mus musculus;	;14973073
TG	CREB1	TRED	Homo sapiens	
TGFB1	CREB1	TRED	Homo sapiens	
TGFB2	CREB1	TRED	Homo sapiens	
TGM1	CREB1	TRED	Mus musculus	
THBS1	CREB1	trrd;	Homo sapiens;	S3897;
TH	CREB1	pazar	Rattus norvegicus	pazar_pleiades_20100814;
TIMP1	CREB1	TRED	Homo sapiens	
TINAGL1	CREB1	TRED	Homo sapiens	
TOM1	CREB1	Pubmed	Mus musculus;	;14973073
TRA@	CREB1	TRED	Mus musculus	
TRB@	CREB1	TRED	Homo sapiens	
TRD@	CREB1	TRED	Homo sapiens	
TRH	CREB1	pazar;TRED	Homo sapiens	
TWF2	CREB1	TRED	Homo sapiens	
UBE2I	CREB1	TRED	Homo sapiens	
UCP1	CREB1	trrd;TRED	Rattus norvegicus	
UGT8	CREB1	pazar;TRED	Homo sapiens	
VGF	CREB1	TRED	Homo sapiens	
VIP	CREB1	pazar	Homo sapiens;	;
YY1	CREB1	TRED	Mus musculus	
ZFP36	CREB1	Pubmed	Mus musculus;	;14973073
ADORA2A	CREBBP	pazar	Rattus norvegicus	
FDPS	CREBBP	Pubmed	Homo sapiens	;9651391
HMGCR	CREBBP	Pubmed	Homo sapiens	;9651391
HMGCS1	CREBBP	Pubmed	Homo sapiens	;9651391
LDLR	CREBBP	Pubmed	Homo sapiens	;9651391
PCK1	CREBBP	NFIRegulomeDB;	Rattus norvegicus	;
CCNA1	CREM	trrd;TRED	Homo sapiens	
CCND1	CREM	TRED	Homo sapiens	
DBH	CREM	pazar	Rattus norvegicus	
ETV3	CREM	TRED	Homo sapiens	
GPD2	CREM	TRED	Rattus norvegicus	
GPX4	CREM	TRED	Homo sapiens	
HK2	CREM	TRED	Rattus norvegicus	
ICAM1	CREM	TRED	Homo sapiens	
IL2	CREM	TRED	Homo sapiens	
IL5RA	CREM	trrd;TRED	Homo sapiens	
JUN	CREM	TRED	Mus musculus	
LDHC	CREM	TRED	Homo sapiens	
NOS2	CREM	TRED	Rattus norvegicus	
PCK1	CREM	TRED	Homo sapiens	
PLAT	CREM	trrd;TRED	Homo sapiens	
PRM2	CREM	TRED	Mus musculus	
SST	CREM	TRED	Rattus norvegicus	
STAR	CREM	TRED	Mus musculus	
TAC1	CREM	pazar	Homo sapiens;	;
TBP	CREM	TRED	Homo sapiens	
TH	CREM	pazar;TRED	Rattus norvegicus;Mus musculus	
APP	CTCF	pazar	Homo sapiens	
AATF	CTNNB1	Pubmed	Homo sapiens;	;16959035
ABCB1	CTNNB1	Pubmed	Homo sapiens; Mus musculus	12154096;10987283;15592430
ADAM2	CTNNB1	Pubmed	Homo sapiens	15979100
AIM1	CTNNB1	Pubmed	Homo sapiens;	;12782598
AKAP13	CTNNB1	Pubmed	Homo sapiens;	;12782598
AKT1	CTNNB1	Pubmed	Homo sapiens	15888491
ALDH1A1	CTNNB1	Pubmed	Homo sapiens;	;12782598
ALDH3A2	CTNNB1	Pubmed	Homo sapiens;	;12782598
AMHR2	CTNNB1	Pubmed	Homo sapiens; Mus musculus	12724325
APCDD1	CTNNB1	Pubmed	Homo sapiens	12384519
APOD	CTNNB1	Pubmed	Homo sapiens;	;12782598
APP	CTNNB1	pubmed	Homo sapiens	15979100
AR	CTNNB1	Pubmed	Homo sapiens	16474850
ARHGAP26	CTNNB1	Pubmed	Homo sapiens;	;15592430
ARL4A	CTNNB1	Pubmed	Homo sapiens;	;12782598
ASNS	CTNNB1	Pubmed	Homo sapiens;	;16132617
AXIN2	CTNNB1	Pubmed	Homo sapiens; Mus musculus	11809809;11940574; 11809808; 12711682; 15473860
BAG2	CTNNB1	Pubmed	Homo sapiens;	;16959035
BAG3	CTNNB1	Pubmed	Homo sapiens;	;16959035
BAMBI	CTNNB1	Pubmed	Homo sapiens	14660579;12782598 
BCL2	CTNNB1	Pubmed	Homo sapiens	17404573;12782598;16288908
BCL2L1	CTNNB1	Pubmed	Mus musculus	16339534
BCL2L2	CTNNB1	Pubmed	Homo sapiens	19124064
BIK	CTNNB1	Pubmed	Homo sapiens;	;15592430
BIRC5	CTNNB1	Pubmed	Mus musculus	11517919;16288908;17005722;11517919
BIRC7	CTNNB1	Pubmed	Homo sapiens	17660948
BMP2	CTNNB1	Pubmed	Homo sapiens;	;15579438
BMP4	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;12782598;15907834;10601040
BOK	CTNNB1	Pubmed	Mus musculus	12907606
BTRC	CTNNB1	Pubmed	Homo sapiens;	;15473860;10882123
C7ORF68	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;15642117
CAPN2	CTNNB1	Pubmed	Mus musculus	12907606
CASP3	CTNNB1	Pubmed	Mus musculus	12907606
CASP4	CTNNB1	Pubmed	Homo sapiens	15979100
CASP7	CTNNB1	Pubmed	Mus musculus	12907606
CCL2	CTNNB1	Pubmed	Homo sapiens	16003740
CCL7	CTNNB1	Pubmed	Mus musculus	11118053
CCND1	CTNNB1	Pubmed	Homo sapiens; Rattus norvegicus; mouse	;15592430;12782598;11943708;12095419;10201372;14557550;10915780;17693601;15111320
CCND3	CTNNB1	Pubmed	Rattus norvegicus	;14557550
CD14	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;15642117
CD44	CTNNB1	Pubmed	Homo sapiens; Mus musculus	12782598;10027409;18483247
CD4	CTNNB1	Pubmed	Mus musculus	16585583
CDC6	CTNNB1	Pubmed	Homo sapiens;	;16132617
CDH3	CTNNB1	Pubmed	Mus musculus;	;17292359
CDKN1A	CTNNB1	Pubmed	Homo sapiens;	;14637149
CDKN1B	CTNNB1	Pubmed	Rattus norvegicus	;14557550
CDKN1C	CTNNB1	Pubmed	Rattus norvegicus	;14557550
CDX1	CTNNB1	Pubmed	Mus musculus; Homo sapiens; Rattus norvegicus	11997022;12446687;10934025
CDX4	CTNNB1	Pubmed	Mus musculus	16309666
CEACAM1	CTNNB1	Pubmed	Homo sapiens;	;12782598
CEACAM5	CTNNB1	Pubmed	Homo sapiens	15890249
CEACAM6	CTNNB1	Pubmed	Homo sapiens	15890249
CEBPA	CTNNB1	Pubmed	Mus musculus	10937998
CER1	CTNNB1	Pubmed	Xl	10525541
CLDN2	CTNNB1	Pubmed	Homo sapiens	14751232
CNN2	CTNNB1	Pubmed	Homo sapiens;	;12782598
CRAT	CTNNB1	Pubmed	Homo sapiens;	;12782598
CST4	CTNNB1	Pubmed	Homo sapiens;	;12782598
CTGF	CTNNB1	Pubmed	Homo sapiens	12200448
CTNNA2	CTNNB1	Pubmed	Homo sapiens;	;12782598
CTNNB1	CTNNB1	Pubmed	Homo sapiens;	;16959035
CTNND2	CTNNB1	Pubmed	Homo sapiens;	;12782598
CXCL12	CTNNB1	Pubmed	Homo sapiens;	;16132617
CXCL6	CTNNB1	Pubmed	Homo sapiens;	;16132617
CYCS	CTNNB1	Pubmed	Mus musculus	12907606
CYP24A1	CTNNB1	Pubmed	Homo sapiens;	;12782598
CYP26A1	CTNNB1	Pubmed	Homo sapiens; Mus musculus; Zebra fish	16885356
CYP2B6	CTNNB1	Pubmed	Mus musculus;	;15471898
DAP3	CTNNB1	Pubmed	Homo sapiens;	;16959035
DAPK2	CTNNB1	Pubmed	Homo sapiens	18957423
DBH	CTNNB1	Pubmed	Homo sapiens;	;12782598
DCT	CTNNB1	Pubmed	Homo sapiens	12032083
DDX17	CTNNB1	Pubmed	Homo sapiens;	;12782598
DEFA5	CTNNB1	Pubmed	Homo sapiens;	;12782598
DIO2	CTNNB1	Pubmed	Homo sapiens;	;12782598
DKK1	CTNNB1	Pubmed	Homo sapiens	15592430; 15592505
DKK4	CTNNB1	Pubmed	Homo sapiens;	;18408752
DLL1	CTNNB1	Pubmed	Mus musculus	15545629
DMP1	CTNNB1	Pubmed	Mus musculus;	;19213727
DNMT1	CTNNB1	Pubmed	Homo sapiens;	;12538344
DPEP1	CTNNB1	Pubmed	Homo sapiens;	;12782598
DSP	CTNNB1	Pubmed	Homo sapiens	15979100
DUSP6	CTNNB1	Pubmed	Homo sapiens;	;15592430
DYNC1I1	CTNNB1	Pubmed	Homo sapiens;	;15592430
E2F1	CTNNB1	Pubmed	Mus musculus;	;19900401
ECM1	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;12782598;15642117
EDN1	CTNNB1	Pubmed	Homo sapiens	15558022
EDN3	CTNNB1	Pubmed	Homo sapiens;	;12782598
EMP1	CTNNB1	Pubmed	Mus musculus;	;12154096
EMX2	CTNNB1	Pubmed	Rattus norvegicus	;17693601
EN2	CTNNB1	Pubmed	Xl	10495268
ENC1	CTNNB1	Pubmed	Homo sapiens	11691783
ENPP2	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;15592430;15642117
EPB41L4A	CTNNB1	Pubmed	Homo sapiens;	;10874211
EPCAM	CTNNB1	Pubmed	Homo sapiens	18006828
EPHB2	CTNNB1	Pubmed	Mus musculus	12408869
EPHB3	CTNNB1	Pubmed	Homo sapiens	12782598;12408869
ETV5	CTNNB1	Pubmed	Homo sapiens;	;15592430
F13A1	CTNNB1	Pubmed	Homo sapiens;	;12782598
FADD	CTNNB1	Pubmed	Homo sapiens;	;16959035
FAM126A	CTNNB1	Pubmed	Homo sapiens;	;10910037
FAM189A2	CTNNB1	Pubmed	Homo sapiens;	;12782598
FBLN2	CTNNB1	Pubmed	Homo sapiens;	;16132617
FGF18	CTNNB1	Pubmed	Homo sapiens	14559787
FGF20	CTNNB1	Pubmed	Homo sapiens;	;15592430
FGF9	CTNNB1	Pubmed	Homo sapiens;	;12782598;16452189
FN1	CTNNB1	Pubmed	Xl	10409747
FOSL1	CTNNB1	Pubmed	Homo sapiens;	;9990071
FOXN1	CTNNB1	Pubmed	Mus musculus	12379851
FRK	CTNNB1	Pubmed	Homo sapiens;	;16132617
FSCN1	CTNNB1	Pubmed	Mus musculus;	;17638895
FST	CTNNB1	Pubmed	Homo sapiens; Mus musculus	15579438;18948405
FUT1	CTNNB1	Pubmed	Homo sapiens;	;15592430
FUT8	CTNNB1	Pubmed	Mus musculus;	;17273793
FZD1	CTNNB1	Pubmed	Homo sapiens;	;15473860
FZD2	CTNNB1	Pubmed	Homo sapiens;	; 15473860
FZD3	CTNNB1	Pubmed	Homo sapiens;	; 15473860
FZD7	CTNNB1	Pubmed	Homo sapiens;	;15473860;12095419
GAD1	CTNNB1	Pubmed	Homo sapiens;	;15592430;12782598
GAST	CTNNB1	Pubmed	Mus musculus	;15292219; 16139800;15292219
GJA1	CTNNB1	Pubmed	Homo sapiens;	;11943708
GJA4	CTNNB1	Pubmed	Homo sapiens;	;16132617
GJA5	CTNNB1	Pubmed	Homo sapiens;	;16132617
GLCE	CTNNB1	Pubmed	Homo sapiens	15853773
GLI2	CTNNB1	Pubmed	Homo sapiens	;19797115
GLI3	CTNNB1	Pubmed	Homo sapiens;	;18057099
GLUL	CTNNB1	Pubmed	Rattus norvegicus	;17006929
GPR64	CTNNB1	Pubmed	Homo sapiens;	;12782598
GPX2	CTNNB1	Pubmed	Homo sapiens;	;12782598
GREM2	CTNNB1	Pubmed	Mus musculus;	;17222801
HERPUD1	CTNNB1	Pubmed	Mus musculus;	;12153396
HIF1A	CTNNB1	Pubmed	Homo sapiens;	;16959035
HOXB4	CTNNB1	Pubmed	Mus musculus;	;12717450
HSD17B2	CTNNB1	Pubmed	Homo sapiens;	;12782598
HTRA1	CTNNB1	Pubmed	Homo sapiens;	;12782598
ID2	CTNNB1	Pubmed	Homo sapiens;	;12095419;11572874
ID3	CTNNB1	Pubmed	Homo sapiens;	;12782598
IDO1	CTNNB1	Pubmed	Homo sapiens;	;12782598
IFITM1	CTNNB1	Pubmed	Homo sapiens;	;12782598
IGF1	CTNNB1	Pubmed	Mus musculus;	;12154096
IGF2	CTNNB1	Pubmed	Mus musculus;	;12154096
IGFBP6	CTNNB1	Pubmed	Homo sapiens	14737101
IHH	CTNNB1	Pubmed	Homo sapiens;	;12782598
IKBKG	CTNNB1	Pubmed	Homo sapiens;	;15473860
IL1R1	CTNNB1	Pubmed	Homo sapiens;	;12782598
IL6	CTNNB1	Pubmed	Mus musculus;	;12154096
IL8	CTNNB1	Pubmed	Homo sapiens	16132617;12200448
INHA	CTNNB1	Pubmed	Homo sapiens; Mus musculus	12732619;12861022
INHBB	CTNNB1	Pubmed	Homo sapiens;	;12782598
IRS1	CTNNB1	Pubmed	Homo sapiens;	;15592430;12782598
ISYNA1	CTNNB1	Pubmed	Homo sapiens;	;15592430
ITGA1	CTNNB1	Pubmed	Homo sapiens;	;12782598
ITGB1	CTNNB1	Pubmed	Homo sapiens	15979100
JUN	CTNNB1	Pubmed	Homo sapiens;	;9990071
KLF4	CTNNB1	Pubmed	Homo sapiens;	;12387883
KLF5	CTNNB1	Pubmed	Mus musculus;	;11134343
KLK2	CTNNB1	Pubmed	Homo sapiens;	;12782598
KLK3	CTNNB1	Pubmed	Homo sapiens;	;12782598
KRT1	CTNNB1	Pubmed	Homo sapiens	12200448
KRT5	CTNNB1	Pubmed	Homo sapiens;	;12782598
L1CAM	CTNNB1	Pubmed	Homo sapiens;	;15716380
LAMC2	CTNNB1	Pubmed	Homo sapiens;	;11719433
LBX1	CTNNB1	Pubmed	Homo sapiens;	;15579438
LECT2	CTNNB1	Pubmed	Mus musculus;	;15239100
LEF1	CTNNB1	Pubmed	Homo sapiens; Mus musculus	11326276;15473860;17335794
LEP	CTNNB1	Pubmed	Homo sapiens;	;12861022
LGALS3	CTNNB1	Pubmed	Homo sapiens;	;12782598
LIMA1	CTNNB1	Pubmed	Homo sapiens	15979100
LMO2	CTNNB1	Pubmed	Homo sapiens;	;15592430;12782598
LRP1	CTNNB1	Pubmed	Homo sapiens;	;15473860
LY6G6D	CTNNB1	Pubmed	Homo sapiens;	;15592430
LYZ	CTNNB1	Pubmed	Mus musculus;	;17273793
MAP3K6	CTNNB1	Pubmed	Mus musculus	12907606
MARK4	CTNNB1	Pubmed	Mus musculus; Homo sapiens	;11716497
MEOX2	CTNNB1	Pubmed	Homo sapiens;	;15579438
MET	CTNNB1	Pubmed	Homo sapiens;	;12234972
MLLT10	CTNNB1	Pubmed	Homo sapiens	15979100
MME	CTNNB1	Pubmed	Homo sapiens;	;12782598
MMP1	CTNNB1	Pubmed	Homo sapiens	12384519
MMP26	CTNNB1	Pubmed	Homo sapiens	15006646;11931652
MMP2	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;12782598;17306568
MMP7	CTNNB1	Pubmed	Homo sapiens	12782598;11943708;12200448;15457508;10514384;12958188
MMP9	CTNNB1	Pubmed	Mus musculus;	;17306568
MSLN	CTNNB1	Pubmed	Homo sapiens	15890249
MSX1	CTNNB1	Pubmed	Homo sapiens;	;15592430;12095419
MSX2	CTNNB1	Pubmed	Homo sapiens;	;14551209;12095419;15592430;12782598
MT1L	CTNNB1	Pubmed	Homo sapiens;	;12782598
MTAP	CTNNB1	Pubmed	Homo sapiens;	;15492751
MUC6	CTNNB1	Pubmed	Homo sapiens;	;12782598
MXD1	CTNNB1	Pubmed	Mus musculus	12907606
MYBL2	CTNNB1	Pubmed	Homo sapiens	16959035
MYCBP	CTNNB1	Pubmed	Homo sapiens	15979100
MYC	CTNNB1	Pubmed	Homo sapiens; Mus musculus	15576399; 15579438;12095419;9727977;12907606;18852287
MYCN	CTNNB1	Pubmed	Mus musculus;	;15907834
MYF5	CTNNB1	Pubmed	Mus musculus	16936075
MYH2	CTNNB1	Pubmed	Mus musculus	18948405
MYOD1	CTNNB1	Pubmed	Mus musculus	18948405
NAIP	CTNNB1	Pubmed	Mus musculus	12907606
NEDD4L	CTNNB1	Pubmed	Mus musculus;	;17273793
NEUROG1	CTNNB1	Pubmed	Mus musculus;	;15142975
NFKBIA	CTNNB1	Pubmed	Homo sapiens;	;16959035
NKD1	CTNNB1	Pubmed	Homo sapiens;	;15473860
NKX2-2	CTNNB1	Pubmed	GG; Mus musculus	;16950124
NOS2	CTNNB1	Pubmed	Rattus norvegicus	16849547
NOTCH1	CTNNB1	Pubmed	Mus musculus;	;12717450
NOTUM	CTNNB1	Pubmed	Homo sapiens	15473860;18429952
NPM1	CTNNB1	Pubmed	Homo sapiens;	;12095419
NPPC	CTNNB1	Pubmed	Mus musculus	12475749
NR4A1	CTNNB1	Pubmed	Mus musculus;	;12153396
NRCAM	CTNNB1	Pubmed	Mus musculus	12183361
NT5E	CTNNB1	Pubmed	Homo sapiens	15149841
NTSR1	CTNNB1	Pubmed	Homo sapiens	16299383
PAX8	CTNNB1	Pubmed	Rattus norvegicus	;17693601
PCCA	CTNNB1	Pubmed	Homo sapiens;	;12782598
PCSK6	CTNNB1	Pubmed	Homo sapiens;	;12782598
PDCD5	CTNNB1	Pubmed	Homo sapiens;	;16959035
PDCD6IP	CTNNB1	Pubmed	Homo sapiens;	;16959035
PHEX	CTNNB1	Pubmed	Mus musculus;	;19213727
PKD1	CTNNB1	Pubmed	Homo sapiens;	;12048202
PLA2G2A	CTNNB1	Pubmed	Homo sapiens;	;18519687
PLAUR	CTNNB1	Pubmed	Homo sapiens;	;9990071
PLK2	CTNNB1	Pubmed	Homo sapiens;	;15592430
PLS3	CTNNB1	Pubmed	Homo sapiens;	;12782598
PML	CTNNB1	Pubmed	Mus musculus;	;12384561
PPARD	CTNNB1	Pubmed	Homo sapiens;	;11943708
PPARG	CTNNB1	Pubmed	Mus musculus	15665104
PPID	CTNNB1	Pubmed	Homo sapiens;	;16132617
PRL2C3	CTNNB1	Pubmed	Mus musculus;	;12154096
PRL2C4	CTNNB1	Pubmed	Mus musculus	12154096
PTCH1	CTNNB1	Pubmed	Homo sapiens;	;12782598
PTEN	CTNNB1	Pubmed	Homo sapiens;	;16959035
PTGS2	CTNNB1	Pubmed	Homo sapiens; Mus musculus	;12154096
PTTG1	CTNNB1	Pubmed	Homo sapiens	16705313;15514942
PTX3	CTNNB1	Pubmed	Rattus norvegicus	;14557550
QPCT	CTNNB1	Pubmed	Homo sapiens;	;12782598
RARG	CTNNB1	Pubmed	Xl	10495268
RASGRF1	CTNNB1	Pubmed	Homo sapiens;	;16132617
RBP1	CTNNB1	Pubmed	Homo sapiens;	;15592430
RCN1	CTNNB1	Pubmed	Homo sapiens;	;12782598
REST	CTNNB1	Pubmed	GG	14575694
RET	CTNNB1	Pubmed	Rattus norvegicus	;14557550
ROCK1	CTNNB1	Pubmed	Homo sapiens	15979100
RPL29	CTNNB1	Pubmed	Mus musculus;	;17273793
RSPO2	CTNNB1	Pubmed	Mus musculus;	;19213727
RUNX2	CTNNB1	Pubmed	GG; Mus musculus	16575901;16043491
S100A4	CTNNB1	Pubmed	Homo sapiens;	;17101323
SAA1	CTNNB1	Pubmed	Homo sapiens;	;12782598
SCGB2A2	CTNNB1	Pubmed	Homo sapiens;	;12782598
SDC2	CTNNB1	Pubmed	Homo sapiens;	;15473860
SEMA3C	CTNNB1	Pubmed	Homo sapiens;	;12782598
SERPINA1	CTNNB1	Pubmed	Homo sapiens;	;12782598
SERPINA3	CTNNB1	Pubmed	Homo sapiens;	;12782598
SERPINA5	CTNNB1	Pubmed	Homo sapiens;	;12782598
SERPIND1	CTNNB1	Pubmed	Homo sapiens;	;15592430
SFN	CTNNB1	Pubmed	Homo sapiens;	;12782598
SFRP4	CTNNB1	Pubmed	Homo sapiens;	;15579438
SGK1	CTNNB1	Pubmed	Mus musculus	12907606
SIM2	CTNNB1	Pubmed	Homo sapiens;	;15579438
SLC1A5	CTNNB1	Pubmed	Homo sapiens;	;12782598
SLC26A2	CTNNB1	Pubmed	Homo sapiens;	;12782598
SLC2A14	CTNNB1	Pubmed	Homo sapiens;	;15592430
SLC2A3	CTNNB1	Pubmed	Homo sapiens;	;15592430
SLC6A2	CTNNB1	Pubmed	Homo sapiens;	;12782598
SLC7A8	CTNNB1	Pubmed	Homo sapiens;	;15592430
SMC3	CTNNB1	Pubmed	Mus musculus	12651860
SOX10	CTNNB1	Pubmed	zebra fish	18950534
SP5	CTNNB1	Pubmed	Homo sapiens; Mus musculus	17090534;16273202
SPAG11B	CTNNB1	Pubmed	Homo sapiens;	;12782598
SPN	CTNNB1	Pubmed	Homo sapiens;	;16132617
SPP1	CTNNB1	Pubmed	Mus musculus;	;19213727
SRSF3	CTNNB1	Pubmed	Homo sapiens	18952824
STARD7	CTNNB1	Pubmed	Mus musculus;	;17273793
STAT3	CTNNB1	Pubmed	Homo sapiens	18602747
STMN2	CTNNB1	Pubmed	Mus musculus; Homo sapiens	;17273793;16712787
TAGLN	CTNNB1	Pubmed	Mus musculus	19344627
